Rarity,Name,Description
Epic,"Bear Attack","This seems to do nothing. Best keep on your toes though. Cause that's the thing about bear attacksâ€¦ They come when you least expect it.     Cannot be used with pets."
Epic,"Bestial Assault","Casting direct damage Hunter abilities now grant you Bestial Assault    Bestial Assault Reaching 5 stacks restores a charge of Unrelenting Wrath. Lasts 12 sec."
Epic,"Big Flaming Grimfire","Your Soul Fire has 15% increased critical strike chance.  Casting Pyroblast makes your next Soul Fire release a secondary projectile half as strong.  Casting Soul Fire extends the duration of Living Bomb on your target by 2.5 seconds."
Epic,"Biting Cold","When your Deep Freeze deals damage, its cooldown is reduced by 33%."
Epic,"Bitter Cold","Casting Ice Barrier or Icebound Fortitude causes you to be surrounded by a bitter cold dealing 10 Frost damage every second to all enemies within 8 yards. Lasts for 10 sec.    While active, your damaging frost spells or abilities have a 20% chance to apply Sunder Armor to targets hit."
Epic,"Blade Vortex","While Blade Flurry is active your damaging melee finishing moves have a 20% chance per combo point to create a Blade Vortex.      Blade Vortex Deals 5 Physical damage to nearby enemies every second for 3 sec."
Epic,"Blademaster","Parrying an attack now grants you Blademaster.    Blademaster cannot trigger while it is active.    Blademaster Your blade is empowered for 10 sec.    - Devastate: Deals 50% additional damage to nearby enemies and reduces their armor by an additional 10%.    - Death Strike: Hits 2 additional targets.    - Riposte: Awards 2 additional combo points and slows the target's attack speed by an additional 10%."
Epic,"Blades of Blood","Using Charge or Colossus Smash grants you Blades of Blood.    Blades of Blood Your Whirlwind now hits 5 additional targets and applies a Rend (if known). Lasts 3 sec."
Epic,"Blazing Flourish","Teaches you: Blazing Flourish    Blazing Flourish 3 min cooldown 8 Mana This spell belongs to Witch Hunter    Perform an advanced flourish every 4 sec for 20 sec, dealing 81 Fire damage to nearby enemies."
Epic,"Blessed by the Elune","Solar Eclipse causes your next Wrath or Starsurge to apply Insect Swarm.    Lunar Eclipse causes your next Starfire or Starsurge to apply Moonfire."
Epic,"Blinding Dispersion","Dispersion's cooldown is now reduced by 10 seconds. When Dispersion ends, a shadowy nova blinds and disorients nearby enemies for 2 sec."
Epic,"Blink and you'll miss it!","Your damaging spells with a cast time reduce the cooldown of Blink by 1 seconds.    This effect can only occur once every 1 sec and only works against creatures."
Epic,"Blood and Guts","Using Execute on targets affected by your Disembowel deals 156 damage to 5 nearby enemies.    This damage uses Execute modifiers."
Epic,"Blood Bane","Dealing periodic damage with Rend or Deep Wounds grants Blood Bane.    Dealing damage with Deadly Poison grants Venom Coated Blade.      Blood Bane Increases the damage of your Deadly Poison by 15%. Stacks up to 3 times. Lasts 8 sec.    Venom Coated Blade Increases the damage of your next 5 Instant Poisons by 100%. Lasts 16 sec."
Epic,"Blood Rain","Your Stormstrike now increases your bleed damage against the target by 30% for 6 sec."
Epic,"Blood Shield","Requires Frost Presence.    Death Strike no longer heals you.     Instead it shields you for 5% of your maximum health for each of her diseases on the target.     The shield is capped at 20% of your maximum health, 10% against players."
Epic,"Bloodletting","Rupture deals 25% more damage to targets affected by Rend.    Rend deals 30% more damage to targets affected by Rupture."
Epic,"Bloody Maelstrom","Consuming Maelstrom Weapon at max stacks empowers your next Bloodthirst, Mortal Strike or Heart Strike to deal 8 Elemental damage to 6 nearby enemies.     Bloody Maelstrom deals 15% more damage per stack. Stacks up to 5. Lasts 12 seconds."
Epic,"Blooming Growth","Critically healing with Regrowth now applies its heal over time effect to 3 party or raid members within 20 yards.    Regrowth effects applied this way have their healing reduced by 10%."
Epic,"Blunt Force Trauma","Your Damage Shield talent now deals additional threat and applies Blunt Force Trauma.   Blunt Force Trauma Bleeding for 3 damage every 3 seconds and your Damage Shield deals 20% increased damage against the target. Stacks up to 5 times and lasts 9 sec.     This cannot trigger other effects"
Epic,"Bomb Toss","Teaches you: Bomb Toss    Bomb Toss 35 yd range 8 sec cooldown 4 Mana This spell belongs to Tinker    Lob a bomb at an enemy, dealing 46 Fire damage and reducing their armor by 5% for 15 sec, stacking 4 times."
Epic,"Booming Thunder","Dealing direct Nature damage with spells grants Booming Thunder.   Booming Thunder Increases the damage of your next Earth Shock by 25% and increases its critical strike chance by 3%. Against monsters, Earth Shock deals an additional 5% damage per stack. Stacks up to 25 times and lasts 15 sec."
Epic,"Boulder Dash","Teaches you: Boulder Dash    Boulder Dash 3 min cooldown 28 Mana This spell belongs to Primalist    Raise a boulder out of the ground and encase yourself within it, preventing you from attacking or casting spells.  For 10 sec, you roll forward at 70% increased movement speed, dealing 8 Physical damage to enemies you roll over, and you are immune to crowd control effects."
Epic,"Boundless Salvation","Your direct Holy heals reduce the cooldown of Tyr's Deliverance by 3 sec.  Holy Light reduces the cooldown of Tyr's Deliverance by an additional 3 sec."
Epic,"Brand of the Pyromaniac","Combustion also causes your next two Pyroblasts to bounce to 2 additional enemies, dealing 30% less damage with each bounce."
Epic,"Breath of Neltharion","Teaches you: Breath of Neltharion    Breath of Neltharion 1.5 min cooldown 14 Mana This spell belongs to Pyromancer    Breathe superheated flames in a cone in front of you, melting the weapons of affected enemies and disarming their melee and ranged weapons for 6 sec."
Epic,"Bright Lights","Requires  Light's Grace (Rank 3)  Holy Fire grants you Light's Grace.    Your Light's Grace talent also increases your spell haste and Holy damage by 3%.    Light's Grace The cast time of your next Holy Light spell is reduced by 0.5 sec. Lasts for 15 sec."
Epic,"Build: Firepot Drone","Teaches you: Build: Firepot Drone    Build: Firepot Drone 35 yd range 4 Mana 2 sec cast This spell belongs to Tinker    3 Charges, 10 sec recharge  Build a Firepot Drone that flies towards your target, dropping a bomb along its path and exploding upon landing, dealing 12 Fire damage in a 5 yd radius, leaving oil on the ground for 6 sec that slows enemies within by 30%."
Epic,"Build: Oil-Spill Pylon","Teaches you: Build: Oil-Spill Pylon    Build: Oil-Spill Pylon 30 yd range 2 min cooldown 9 Mana This spell belongs to Tinker    Build an Oil-Spill Pylon at target location for 10 sec, spilling oil in an 8 yd radius that reduces enemies movement speed by 60% and increases their Fire damage taken by you by 5%."
Epic,"Build: Spider Bomb Factory","Teaches you: Build: Spider Bomb Factory    Build: Spider Bomb Factory 1 min cooldown 28 Mana This spell belongs to Tinker    Build a Spider Bomb Factory in front of you for 20 sec.    For the duration, using damaging spells and abilities will summon 2 Spider Bombs that immediately run towards your target and detonate, dealing Fire damage.    This can not occur more than once every 4 seconds."
Epic,"Build: Spider Bomb","Teaches you: Build: Spider Bomb    Build: Spider Bomb 35 yd range 18 sec cooldown 6 Mana This spell belongs to Tinker    Build a Spider Bomb that will immediately run towards your target and detonate, dealing 63 Fire damage in an 8 yd radius."
Epic,"Built up Thirst","Finishing moves grant you Built up Thirst.      Built up Thirst Increases the damage of your next Bloodthirst by 15% per combo point consumed. Lasts 10 sec."
Epic,"Bullseye!","Disengage now doubles the effectiveness of your Piercing Shots talent and makes your hunter shots ignore 40% of your target's armor for 10 seconds."
Epic,"Burst of Flames","Dealing periodic damage with Corruption, Conflagrate, Immolate and Shadowflame now grants you Pyromancers Kindling.     Pyromancers Kindling Your next Pyroblast deals 8% increased damage. Stacks up to 5 times and lasts 6 sec."
Epic,"Buy Time","Teaches you: Buy Time    Buy Time 20 yd range 3 min cooldown 24 Mana This spell belongs to Chronomancer    Put all enemies and allies in an 8 yd radius in target area into a stasis, banishing them for 6 sec, making them invulnerable to all effects but unable to move."
Epic,"Caltrops","Teaches you: Caltrops    Caltrops 20 yd range 25 sec cooldown 2 Mana This spell belongs to Witch Hunter    Throw caltrops over a 5 yd area, lasting for 12 sec.    Enemies that walk over the caltrops suffer 14 Physical damage and 50% reduced movement speed for 2 sec."
Epic,"Cauterize","Teaches you: Cauterize    Cauterize 30 yd range 6 sec cooldown 22 Mana This spell belongs to Pyromancer    Cauterize an ally's wound, removing 1 bleed effect from them."
Epic,"Cavalry Charge","Teaches you: Cavalry Charge    Cavalry Charge 1.5 min cooldown This spell belongs to Guardian    Increases mounted movement speed of all party and raid members within 40 yds by 50% and makes them immune to movement impairing effects for 10 sec.   Can be used while mounted. Does not stack with other similar effects."
Epic,"Celestial Form","Teaches you: Celestial Form    Celestial Form 1 min cooldown 16 Mana This spell belongs to Starcaller    Ascend into a celestial form for 20 sec. While active, your direct healing criticals reduce the remaining cooldown of your Arcane and Nature spells by 5%."
Epic,"Centered","Your direct Holy heals now grant you Centered.    Centered Your Smite, Holy Fire, and Penance deal 2% increased damage and have 3% increased chance to hit. Stacks up to 5 times and lasts 10 sec."
Epic,"Champion of the Sun","Teaches you: Champion of the Sun    Champion of the Sun 3 min cooldown 20 Mana This spell belongs to Sun Cleric    Become a champion of An'she, causing your melee auto attacks to deal an additional 50% of the damage dealt as Holy damage. Lasts 20 sec."
Epic,"Chaos Manifesting","After casting Chaos Bolt, you receive a Fire or Shadow Empowerment, increasing your damage dealt with that school by 10% for 8 sec."
Epic,"Charged Ice","Consuming Fingers of Frost with Frostbolt, Frostfire Bolt, Ice Lance or Deep Freeze grants Charged Ice.      Charged Ice Increases the damage of Lightning Bolt, Chain Lightning, Thunderstorm and Lava Burst by 40%. Stacks up to 2. Lasts 7 sec. The duration cannot be refreshed."
Epic,"Chasing the Flames","Dealing damage with Flametongue Weapon reduces the active cooldown of Immolation and Explosive Trap by 3 seconds."
Epic,"Chilling Blows","Your Frostbrand hits extend the duration of your Deep Freeze by 0.3 seconds or reduces its cooldown by 1.5 seconds against enemies permanently immune to stuns.    Dealing damage with Deep Freeze increases your attack speed by 15% for 8 sec."
Epic,"Circle of Fire","Teaches you: Circle of Fire    Circle of Fire 30 yd range 2 min cooldown 20 Mana This spell belongs to Pyromancer    Creates a circle of fire at the target location for 10 sec, dealing 18 Fire damage and incapacitating all enemies inside for 6 sec.    Entering the circle also damages and disorients enemies."
Epic,"Circle of Valor","Teaches you: Circle of Valor    Circle of Valor 30 yd range 5 min cooldown 16 Mana This spell belongs to Sun Cleric    Place a 10 yd holy circle at target location for 15 sec. Allies that stand inside of it will divert 30% of all damage taken to the caster, and will be healed for 52 every 1.50 sec.    Damage which reduces the caster below 10% maximum health will break the effect."
Epic,"Clad in Frost","Requires Frost Presence or Mana-Forged Barrier.    Casting Ice Barrier or Icebound Fortitude now grants you Clad in Frost.    Clad in Frost Reduces all damage taken by 12%, 30% increased threat from Frost sources and increases the chance to trigger Fingers of Frost by 10%. Lasts for 10 sec.    While active, casting a Frost spell reduces the remaining cooldown of Ice Barrier by 1 sec.    While Clad in Frost is active, Frost spell and ability casts reduce the remaining cooldown of Ice Barrier by 1 sec."
Epic,"Clasp of Infinity","Teaches you: Clasp of Infinity   |Tinterface\icons\HandBeamBlackHand:20:20:0:0|t Clasp of Infinity 30 yd range 20 sec cooldown 18 Mana This spell belongs to Chronomancer    Conjure a magical binding upon an enemy that bounces to nearby enemies, rooting them in place for 4 sec."
Epic,"Cleansing Flames of the Apostate","Requires  Path of Healing Casting Cauterizing Fire or Pyroblast grants you Flames of the Apostate while in combat.  Dealing direct damage with Pyroblast heals three nearby allies for 356.  Dealing periodic damage with Pyroblast heals one nearby ally for 11.  Flamestrike applies Cauterizing Embers to allies standing within it.   Cauterizing Embers Heals the target for 12 every 2 seconds.   Flames of the Apostate Flamestrike's cast time is reduced by 10% per stack.     At 10 stacks, Flamestrike also grants a shield that absorbs 18 damage on up to 5 allies."
Epic,"Clear Mind","Your Elemental Focus Clearcasting gains an extra charge, reduces mana cost by an additional 10%, and now grants 5% spell haste."
Epic,"Cloudburst","Increases the damage of your Thunderstorm by 100%.    The mana restored by your Thunderstom is increased by 100%.    Your Thunderstorm gains, or increases its cast time by 1 second."
Epic,"Coagulation","Blood Horror's damage is increased by 50%, healing by 125%, and you take 30% less damage."
Epic,"Cobra Combo","Your finishing moves have a 20% chance per combo point to increase your Tamed Pet's critical strike chance by 15% for 12 sec.    Tamed Pet includes Summoned Demon, Enslave Demon, Dominate Undead, Tame Dragonkin, Tether Elemental, Summoned Ghoul, and Tame Beast."
Epic,"Cold Dark Thoughts","Dealing direct Frost damage has a 15% chance to grant you Mindblast!.   Mindblast! Your next Mind Blast spell is instant, costs no mana, deals 25% more damage. Lasts for 15 sec."
Epic,"Coldstrike Marksmanship","Direct Frost Spell critical strikes grant you a charge of Coldstrike Marksmanship.    Coldstrike Marksmanship Increases the damage of your next Hunter Shot by 20%. Holds 6 charges. Lasts 20 sec."
Epic,"Combusting Shots","Direct Fire spell damage while Combustion is active grants Combusting Shots. Subsequent casts increase the duration by 3 seconds.   Combusting Shots Increases the damage done by Explosive Shot by 20%. Lasts for 3 seconds."
Epic,"Compound Power","Your damaging Steady Shot and Arcane Shot now award 2 combo points."
Epic,"Compound Speed","Slice and Dice also increases your Ranged Attack Speed by 30%."
Epic,"Conductive Affliction","Dealing damage with Lightning Bolt or Chain Lightning applies Conductive Affliction to the target for 15 sec. Holds up to 10 charges. Damage from your Unstable Affliction or Vampiric Touch consumes a charge to deal 35% increased damage."
Epic,"Conductive Venom","Dealing damage with Lightning Bolt or Chain Lightning applies Conductive Venom for 15 sec, increasing the damage the target takes from your Serpent Sting by 5%. Stacks up to 10 times."
Epic,"Conductor","Casting Frostbolt, Frostfire Bolt and Frost Nova grants Conductor.      Conductor Your next Lightning Bolt, Chain Lightning or Lava Burst has 34% reduced cast time. Stacks up to 3 times and lasts 10 sec."
Epic,"Consecrated Target","Dealing damage with ranged abilities marks the target for 15 sec, increasing the damage it takes from your Holy Fire by 5%. Stacks up to 10 times."
Epic,"Conservation","Effective direct heals grant you Conservation.    Conservation Increases your mana regeneration by 1, increasing with level, and allows 5% of your mana regeneration to continue while casting for 6 sec.    Stacks up to 5 times."
Epic,"Controlled Burn","Chaos Bolt extends the duration of your Immolate by 6 sec. Your Immolate periodic critical strikes also trigger Ignite."
Epic,"Controlled Chaos","Spells with a cast time reduce the cooldown of Chaos Bolt by 2 seconds."
Epic,"Corrupt Mind","Teaches you: Corrupt Mind    Corrupt Mind 1 min cooldown 16 Mana This spell belongs to Cultist    Corrupt the mind of an enemy and spread madness, fearing them in place for 40 sec (8 sec vs players), bouncing to up to 2 nearby enemies and applying Mind Rot to them.    Damage dealt may end this effect.   Mind Rot Increases the chance for spells to hit this target by 3%. If dispelled, the caster gains 30% spell critical strike chance for 5 sec."
Epic,"Corrupted Bear Form","Corrupts your Bear Form, causing your melee attacks to deal additional high-threat Shadow damage while reducing Physical damage dealt by 20%."
Epic,"Corrupted Blade","Your Sinister Strike and Gloomblade casts spread your Corruption to enemies within 10 yards of the target.    Corruption will not spread to crowd controlled players or totems."
Epic,"Counterpoise","While above 50% rage, you gain 5% melee haste. While below 50% rage, you gain 3% melee critical strike chance."
Epic,"Coward's Bane","Your Warrior abilities have a chance to daze enemies facing away from you for 3 seconds."
Epic,"Crackling Thunder","Thunder Clap creates Crackling Thunder on the ground, dealing 3 Nature damage and increasing your critical strike chance against nearby enemies by 5%.     This damage generates additional threat."
Epic,"Crazy Cultist","Your offensive Warlock spell casts have a 15% chance to cast an additional random Warlock spell for free."
Epic,"Crimson Claws","Dealing damage with Crimson Tempest has a 20% chance per combo point to send your Tamed Pet into a frenzy, causing its auto attacks to hit 5 nearby enemies for 8 sec.    This effect can only occur once every 15 sec.    Tamed Pet includes Summoned Demon, Enslave Demon, Dominate Undead, Tame Dragonkin or Tether Elemental, and Tame Beast.      Crimson Claws Auto attacks strike 5 nearby enemy targets for 20% of the damage dealt."
Epic,"Crimson Defense","Blocking now grants you Crimson Defender.      Crimson Defender Crimson Defender stacks up to 3 times. At 3 stacks, your next listed spell consumes the stacks:    - Shield Slam and Shield of Righteousness: Deals an additional 31 Holy damage to the target.    - Judgement: Hits 4 additional nearby targets.    - Power Word: Shield: Reduces your damage taken by 15% for 5 seconds."
Epic,"Crippling Shot","Teaches you: Crippling Shot    Crippling Shot 10 sec cooldown 25 Energy This spell belongs to Ranger    Fire a crippling shot at an enemy slowing movement speed by 50% and knocking them off their mounts, making them unable to mount again for 5 sec."
Epic,"Critical Cycles","Solar Eclipse now increases your periodic Nature damage by 60%.    Lunar Eclipse now increases your periodic Arcane damage by 60%."
Epic,"Critical Serration","Unlocked by  Piercing Shots (Rank 1)  Shuriken Toss and Deadly Throw criticals can now trigger your Piercing Shots talent."
Epic,"Crushing Charge","Hitting targets affected by your Crushing Impact with Physical melee abilities now reduces the cooldown of Battle Charge by 3 seconds.    This effect can only occur once every 3 sec."
Epic,"Crushing Impact","Charge now applies Crushing Impact to all enemies within 10 yards.    Crushing Impact Increases the damage taken from the caster by 10% and Victory Rush by 40% for 12 sec."
Epic,"Cryotherapist","Requires  Path of Healing  Dealing damage with Frostbolt, Frostfire Bolt, or Ice Lance triggers a heal on a nearby ally for 41.    Dealing damage with Deep Freeze triggers a heal on 5 nearby allies for 231 and applies Cryotherapy to them.    Dealing damage with Icy Penance triggers a heal on 3 nearby allies for 171.    Heals from Cryotherapist benefit from healing modifiers and can trigger additional effects.    Ranks 1-3 of Frostbolt trigger a lesser version of the heal.      Cryotherapy Restore 59 each 2 second for 10 sec"
Epic,"Cursed Effigy","Teaches you: Cursed Effigy    Cursed Effigy 2 min cooldown 12 Mana This spell belongs to Witch Doctor    Drop a Cursed Effigy near you for 15 sec.    Enemies within 15 yds are unable to critically strike."
Epic,"Dark Justicar","Seal of Vengeance now stacks up to 10.  Your Judgements and Scourge Strike can consume 10 stacks of its damage over time effect to deal 17 additional Holy damage."
Epic,"Dark Surgeon","Requires  Path of Healing  Rogue finishing moves apply Surgical Treatment per combo point spent.    Premeditation now grants 1 additional combo point and can be used out of stealth.    Surgical Treatment Heals each second for 33. Lasts 6 sec."
Epic,"Dark Tonic","Teaches you: Dark Tonic    Dark Tonic 3 min cooldown 50 Rage This spell belongs to Witch Hunter    Drink a dark tonic, healing you for 124, scaling with your Stamina, and increasing your maximum health by 15% for 15 sec.    Shares a cooldown with other Tonics."
Epic,"Dark Winter","Dealing damage with Frost spells now applies Dark Winter.    Dark Winter Increases your periodic shadow damage dealt to the target by 2%. Stacks up to 4 times and lasts 10 sec."
Epic,"Darkwing Volley","Dealing damage with Black Arrow reduces the remaining cooldown of Summon Gargoyle by 3 sec."
Epic,"Dawning Light","Your Holy Shock healing is now increased by 50% on allies below 50% health."
Epic,"Deadly Aim","Your ranged auto shots now have a 15% chance to reset the cooldown of Aimed Shot and increase its damage by 15% for 6 sec."
Epic,"Deadly Bite","Dealing damage with Mongoose Bite, Counterattack or Savage Blade applies Deadly Bite for 12 sec, causing 40% of the triggering damage as Bleed damage over its duration.    Repeated applications accumulate into the existing bleed and refresh its duration.      Deadly Bite Bleeding for accumulated damage equal to 40% of the triggering Mongoose Bite, Counterattack or Savage Blade damage over 12 sec. Reapplying Deadly Bite adds the new damage to the remaining bleed and refreshes the duration."
Epic,"Deadly Combo","Requires  Sudden Death (Rank 3)  Your finishing moves have a 20% chance per combo point to grant you Sudden Death.      Sudden Death You may use Execute regardless of target's health."
Epic,"Deadly Instinct","Dealing damage with Savage Blade now grants you Deadly Instinct.     Deadly Instinct Increases the damage of your Counterattack and Mongoose Bite by 50% against monsters.  This has 5 charges and lasts 15 sec.    Counterattack and Mongoose Bite deal 35% increased damage against players."
